Country,ISO3,CPI score 2019,Rank,standard error ,Number of sources,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit Ratings,Global Insight Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index
Gambia,GMB,37,96,5.98,7,11.00,,33,,,47,,,34,58,27,50,
Tanzania,TZA,37,96,1.92,9,39.00,,41,37,,35,,,32,46,27,42,34
Vietnam,VNM,37,96,2.84,8,,,37,20,,47,,37,41,42,,40,34
Bosnia and Herzegovina,BIH,36,101,1.95,7,,,37,37,44,35,,,,32,,29,40
Kosovo,KSV,36,101,0.81,5,,,37,,36,35,,,,39,35,,
Panama,PAN,36,101,1.37,7,,,37,37,,35,,,32,42,,31,36
Peru,PER,36,101,3.07,8,,,49,37,,35,24,,41,44,,26,32
Thailand,THA,36,101,2.45,9,,,37,37,,35,45,38,32,20,,43,38
Albania,ALB,35,106,2.51,8,,,37,37,42,35,,,41,20,,37,28
Algeria,DZA,35,106,2.59,7,,,37,37,,35,,,32,23,,46,36
Brazil,BRA,35,106,4.06,8,,,61,37,,35,28,,32,31,,22,38
Cote d'Ivoire,CIV,35,106,2.49,9,32.00,,29,37,,47,,,32,48,35,28,29
Egypt,EGY,35,106,4.86,7,,,29,37,,35,,,32,20,,62,31
North Macedonia,MKD,35,106,3.56,7,,,41,20,47,35,,,,28,,32,42
Mongolia,MNG,35,106,1.89,9,,,37,37,,47,28,,35,31,35,28,36
El Salvador,SLV,34,113,2.56,7,,,45,37,,35,,,32,25,,28,38
Kazakhstan,KAZ,34,113,4.18,9,,,33,20,24,35,55,,43,17,,47,36
Nepal,NPL,34,113,1.76,6,,,29,,,35,,,,29,35,40,35
Philippines,PHL,34,113,1.59,9,,,33,37,,35,29,39,41,30,,32,27
Eswatini,SWZ,34,113,6.08,4,,,17,,,35,,,,42,,43,
Zambia,ZMB,34,113,1.97,9,39.00,,29,37,,35,,,35,43,27,26,38
Sierra Leone,SLE,33,119,3.47,8,34.00,,33,20,,47,,,47,25,35,,26
Moldova,MDA,32,120,2.40,9,,,29,37,33,47,,,32,21,27,30,29
Niger,NER,32,120,1.72,7,37.00,,29,,,35,,,24,34,35,,34
Pakistan,PAK,32,120,2.46,8,,,21,37,,35,,,32,27,35,43,27
Bolivia,BOL,31,123,3.00,7,,,37,37,,35,,,32,35,,19,19
Gabon,GAB,31,123,2.41,6,,,33,37,,35,,,32,20,,29,
Malawi,MWI,31,123,1.78,9,37.00,,33,20,,35,,,32,33,27,27,35
Azerbaijan,AZE,30,126,7.16,7,,,29,20,21,35,,,24,10,,69,
Djibouti,DJI,30,126,4.28,5,27.00,,25,,,47,,,,24,27,,
Kyrgyzstan,KGZ,30,126,2.54,7,,,37,,30,35,,,,17,35,26,27
Ukraine,UKR,30,126,2.38,9,,,41,20,36,22,31,,36,23,,30,34
Guinea,GIN,29,130,2.50,8,27.00,,37,,,35,,,24,20,27,38,22
Laos,LAO,29,130,5.00,5,,,21,,,35,,,,18,27,46,
Maldives,MDV,29,130,2.57,3,,,,,,35,,,,27,27,,
Mali,MLI,29,130,2.62,8,34.00,,33,,,35,,,32,24,35,19,18
Mexico,MEX,29,130,1.73,9,,35,29,37,,22,28,,24,33,,32,25
Myanmar,MMR,29,130,4.21,7,,,21,20,,22,,,32,52,27,,28
Togo,TGO,29,130,2.40,7,24.00,,25,,,35,,,32,20,35,,35
Dominican Republic,DOM,28,137,2.70,7,,,29,37,,22,,,32,15,,30,28
Kenya,KEN,28,137,2.17,9,27.00,,33,20,,35,,,36,22,35,24,22
Lebanon,LBN,28,137,2.27,7,,,21,37,,22,,,24,28,,32,32
Liberia,LBR,28,137,2.67,7,34.00,,37,,,22,,,32,18,27,,22
Mauritania,MRT,28,137,2.73,6,27.00,,29,,,35,,,,17,35,,28
Papua New Guinea,PNG,28,137,2.38,6,,,29,20,,22,,,32,29,35,,
Paraguay,PRY,28,137,2.84,6,,,33,37,,22,,,32,25,,20,
Russia,RUS,28,137,2.48,9,,,29,20,24,22,37,,24,21,,38,36
